module,key,zh-TW,en-US,en-GB,zh-CN,ja-JP,ko-KR,ar-SA,de-DE,fr-FR,es-ES,pt-BR,pt-PT,ru-RU,it-IT,nl-NL,sv-SE,da-DK,fi-FI,no-NO,pl-PL,cs-CZ,hu-HU,ro-RO,tr-TR,uk-UA,he-IL,fa-IR,ur-PK,hi-IN,id-ID,vi-VN,th-TH,bn-BD
claim,faq.a1,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。moonpacket 可以讓群主掛載在自己的群內。玩家不只可以在我們的官方群領取。也可以在所有綁定 moonpacket 紅包機器人的群裡面「q搶紅包」。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,Start our bot to complete a quick trial registration automatically.,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。
claim,faq.a10,必須先完成指定條件（如關注頻道／加入群組／通關密語／外部任務）才能領取。完成後回到該紅包信息帖子的按鈕才能「領取紅包」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a11,Telegram 在不同API 之間有同步延遲，一時未通過請稍等一段時間，如果校驗一直沒辦法通過。比較有可能是API提供方的問題，請反應給發佈紅包任務的項目方。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a12,通關密語的口令通常由主辦的項目方公布在x的貼文或直播或影片中；輸入錯誤可重試，多次錯誤可能觸發限速。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a13,moonpacket提供給外部接入的項目方串接API，用來檢測用戶是否完成任務，用戶在領取紅包的當下會向API詢問，並且回傳驗證結果，合乎條件後解鎖；若當下未回傳，可稍等再重觸發。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a14,成功領取的信息會經由telegram的機器人推送，並且在mini app中有紅包領取紀錄，你可隨時查看歷史與可提現餘額。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a15,依活動設定，目前分為主流的 USDT/SOL/ETH/TON/，以及群主所發行的自己的Token。頁面會標示資產單位與匯率來源（如有）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a16,需要 錢包地址／基礎身份信息，做為安全提問；到帳時間通常 T+0～T+2 工作日。異常風控時可能延長。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a17,一般由領取金額中扣除或由主辦方吸收，規則會在提現頁清楚標示。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a18,不提供「轉贈/合併」的方式。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a19,可能原因：多帳同端、代理/VPN 異常、多群同時搶紅包頻率過高、黑名單地區/ASN 等。你可向機器人發送 /report 信息內容。這是單向回復渠道，官方對於封號處置保留不說明原因也不回復的權利。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
